Unnamed: 0,Class
sample_398,BRCA
sample_399,KIRC
sample_402,BRCA
sample_405,BRCA
sample_406,BRCA
sample_407,BRCA
sample_409,BRCA
sample_410,BRCA
sample_412,BRCA
sample_415,BRCA
sample_417,BRCA
sample_418,BRCA
sample_420,BRCA
sample_421,BRCA
sample_422,BRCA
sample_423,KIRC
sample_428,KIRC
sample_430,KIRC
sample_432,BRCA
sample_435,KIRC
sample_436,BRCA
sample_439,BRCA
sample_441,BRCA
sample_442,BRCA
sample_445,BRCA
sample_446,KIRC
sample_449,BRCA
sample_452,BRCA
sample_453,BRCA
sample_454,BRCA
sample_455,KIRC
sample_458,KIRC
sample_460,BRCA
sample_463,KIRC
sample_467,BRCA
sample_468,KIRC
sample_469,KIRC
sample_470,BRCA
sample_472,KIRC
sample_476,BRCA
sample_484,BRCA
sample_488,BRCA
sample_489,BRCA
sample_492,KIRC
sample_495,BRCA
sample_498,BRCA
sample_500,BRCA
sample_504,KIRC
sample_505,BRCA
sample_506,BRCA
sample_514,BRCA
sample_520,BRCA
sample_521,KIRC
sample_523,KIRC
sample_524,KIRC
sample_528,BRCA
sample_529,KIRC
sample_532,BRCA
sample_533,KIRC
sample_534,KIRC
sample_535,BRCA
sample_536,BRCA
sample_538,KIRC
sample_540,BRCA
sample_541,BRCA
sample_544,BRCA
sample_545,BRCA
sample_546,BRCA
sample_547,KIRC
sample_551,BRCA
sample_552,KIRC
sample_555,KIRC
sample_556,BRCA
sample_559,KIRC
sample_560,BRCA
sample_567,KIRC
sample_568,BRCA
sample_572,BRCA
sample_573,BRCA
sample_574,BRCA
sample_575,KIRC
sample_578,BRCA
sample_582,BRCA
sample_583,KIRC
sample_592,KIRC
sample_593,BRCA
sample_594,BRCA
sample_595,KIRC
sample_596,KIRC
sample_598,BRCA
sample_602,KIRC
sample_603,BRCA
sample_606,BRCA
sample_608,BRCA
sample_611,BRCA
sample_612,BRCA
sample_614,BRCA
sample_615,KIRC
sample_616,BRCA
sample_617,BRCA
sample_619,BRCA
sample_621,BRCA
sample_622,BRCA
sample_623,KIRC
sample_627,BRCA
sample_628,KIRC
sample_629,BRCA
sample_631,BRCA
sample_632,BRCA
sample_637,BRCA
sample_638,BRCA
sample_639,BRCA
sample_641,BRCA
sample_642,BRCA
sample_647,KIRC
sample_649,KIRC
sample_653,KIRC
sample_663,BRCA
sample_664,BRCA
sample_667,KIRC
sample_668,BRCA
sample_671,BRCA
sample_672,BRCA
sample_673,BRCA
sample_676,KIRC
sample_679,KIRC
sample_681,BRCA
sample_688,BRCA
sample_689,KIRC
sample_694,BRCA
sample_695,BRCA
sample_696,BRCA
sample_698,KIRC
sample_699,KIRC
sample_700,KIRC
sample_701,BRCA
sample_705,BRCA
sample_708,BRCA
sample_710,BRCA
sample_711,KIRC
sample_712,BRCA
sample_716,KIRC
sample_718,KIRC
sample_719,BRCA
sample_723,BRCA
sample_724,KIRC
sample_729,KIRC
sample_730,KIRC
sample_734,BRCA
sample_735,BRCA
sample_736,KIRC
sample_739,BRCA
sample_740,BRCA
sample_744,BRCA
sample_746,BRCA
sample_747,BRCA
sample_750,BRCA
sample_751,BRCA
sample_753,BRCA
sample_758,BRCA
sample_760,BRCA
sample_764,KIRC
sample_765,KIRC
sample_768,BRCA
sample_770,BRCA
sample_772,BRCA
sample_774,KIRC
sample_775,BRCA
sample_777,KIRC
sample_781,KIRC
sample_782,BRCA
sample_784,BRCA
sample_786,KIRC
sample_789,KIRC
sample_790,BRCA
sample_791,BRCA
sample_792,BRCA
sample_793,BRCA
sample_796,BRCA
